#OTU ID	S1-bottom	S1-sediment	S2-surface	S2-bottom	S2-sediment	S3-surface	S3-bottom	S3-sediment	S4-surface	S4-bottom	S4-sediment	S5-surface	S5-bottom	S5-sediment	S6-surface	S6-bottom	S6-sediment	S7-surface	S7-bottom	S7-sediment	S8-surface	S8-bottom	S8-sediment	S9-surface	S9-bottom	S9-sediment	S10-surface	S10-bottom	S10-sediment	S11-surface	S11-bottom	S11-sediment	S12-surface	S12-bottom	S12-sediment	S13-surface	S13-bottom	S13-sediment	S14-surface	S14-bottom	S14-sediment	C1-surface	C1-bottom	C1-sediment	C2-surface	C2-sediment	C3-surface	C3-sediment	C4-surface	C4-bottom	C4-sediment	C5-surface	C5-bottom	C5-sediment	C10-surface	C10-sediment	C11-surface	C11-bottom	C11-sediment	C12-surface	C12-bottom	C13-surface	C13-bottom	C13-sediment	C14-surface	C14-bottom	C14-sediment	N1-surface	N1-bottom	N1-sediment	N2-surface	N2-bottom	N3-surface	N3-sediment	N4-surface	N4-sediment	N5-surface	N5-sediment	N6-surface	N7-surface	N7-sediment	N8-surface	N8-sediment	N9-surface	N9-sediment	N10-surface	N10-sediment	N11-surface	N11	N12-surface	N12-sediment	N13-surface	N13-sediment	N14-surface	N14-sediment	N15-surface	N15-sediment	N16-surface	N16-bottom	N16-sediment
Zotu1	6793	56	2857	2353	12786	9916	583	10908	3796	3435	18	46091	3871	287	61844	1813	5568	42791	60	27	10913	663	10777	20011	5412	21	36667	6063	71	12786	444	80	3912	3812	21	5846	8619	33692	13904	8400	61	34074	5768	13	48202	38	35291	51498	28797	2844	45	28061	4651	37	41449	99	41151	1837	45	41878	34	41476	5229	245	29540	4747	27	31320	855	121	35042	272	14170	513	38128	159	50471	7060	16681	33227	456	48385	38	61061	7	45168	84	50845	118	58268	103	29660	292	27711	1712	25491	100	49259	13014	660
Zotu2	7	3	5281	22	7	38937	2003	11	13211	16	2	1116	24	67	6745	579	82	31	5032	1	2069	53	21	31418	23	15	13872	16	9	40665	10424	10	40616	8428	8231	36135	11817	514	30241	738	32	12888	1572	12	6233	15	18124	18	5240	5533	15	1547	1720	7	25022	1	14	16	1	18	3	22	15	59	5171	487	2	8741	798	30	13622	30	8126	7	11327	19	16209	24	33619	12362	9	27	7	2508	0	1570	99	4447	34	13179	32	17951	104	11899	23	19352	47	7905	3690	12724
Zotu3	215	36274	15	174	1039	1	118	1320	10	66	952	24	302	28260	5	51	816	1	45	1066	7	26	31991	12	192	3848	86	193	28526	0	135	198	6	9127	482	134	397	2709	531	12	598	12	66	54	2	1252	4	948	9	152	76319	26	59	223	0	4517	12	102	358	3	246	0	237	44	10	35	85172	4	9	392	7	100	1	33	3	37	5	52	1	0	19	1	22	0	32	0	12	12	58905	1	99	2	262	1	427	14	56025	5	59	8811
Zotu4	881	3	18652	2195	18	10395	2537	18	7784	1548	10	11190	2582	31	2610	418	9	4682	2438	67	14092	891	20	10349	2995	21	6040	3333	44	9770	3687	27	10430	2929	59	12576	721	17	10555	64	13	3963	2658	18	1444	33	3513	22	4137	1298	10	20502	1947	38	4173	15	4905	431	8	3532	519	4817	1243	17	1733	578	4	3643	102	3	1442	950	2839	14	2480	67	1787	47	4347	2403	13	9869	46	3835	46	7025	56	8147	39	1786	48	4019	22	3328	32	1356	44	1216	1268	18
Zotu5	0	14	0	0	13	0	0	9320	0	0	25	3	0	232	2	0	87	8	1	12	1	0	54	2	0	10	0	0	33	16	2	3	2	0	15	0	1	16	2	0	18155	2	0	0	0	31	0	14162	1	0	50932	0	0	12	0	54384	3	2	24800	6	0	2	0	31	0	1	25	0	0	308	0	0	1	47554	0	19476	0	67	1	0	104	0	5	1	0	1	13	0	176	3	950	0	0	0	288	0	7	0	0	4
Zotu6	5	10	5	2	39056	2	1	10624	0	0	38	0	8	23	1	7	195	0	0	98	0	0	2	0	2	6	1	0	1141	0	0	6	0	0	31813	0	7	12632	1	6	4	0	5	51	0	1	0	40	0	0	6482	1	6	3	0	61093	0	8	24	1	3	1	3	3	0	0	375	0	0	964	0	0	0	35	2	2	0	16	0	0	13	2	7	0	13	9	9	1	27452	0	14768	0	3	4	16	0	171	0	3	24
Zotu7	7867	258	6123	2339	101	740	2026	106	9581	1664	123	762	958	242	589	68	15	188	713	17	1316	309	138	361	1257	102	211	1763	220	3239	2551	253	5227	2591	446	1305	803	249	4397	119	114	1427	3160	8	153	137	333	1323	372	4266	21	204	4978	67	222	1	39	2935	9	87	2725	110	1339	384	286	155	7	10154	181	165	3902	12392	6537	117	5122	680	1256	389	2550	541	760	880	2428	436	1	810	1436	1315	13	456	1019	6775	371	5000	846	3800	238	2830	7445	229
Zotu8	16	39796	1	5	422	0	70	10706	2	3	13	0	0	519	0	1	80	0	4	173	2	1	136	0	0	23	0	2	470	22	1	166	0	10	816	0	0	222	0	7	11002	0	5	11	23	810	2	110	1	3	713	0	1	7	2	18	0	2	204	0	1	0	4	183	0	566	198	0	1	175	0	25	0	7	630	63	1	35	0	4	101074	1	198	1	35	4	33	2	26	0	1018	0	2130	0	4449	0	1	0	18	107
Zotu9	3198	1038	3548	1738	330	268	1254	90	425	2336	93	1062	2091	389	61	1426	11	1211	3846	41	2072	1663	11	1613	2278	10	371	3635	195	518	1974	33	1064	5189	4136	462	3969	3418	238	9089	169	287	2625	194	17	47	14	769	85	4068	164	3081	2706	1071	172	97	54	6603	76	72	4088	806	3652	51	16	1841	182	170	348	245	22	8259	23	1209	57	1094	73	401	101	88	86	490	64	102	374	97	426	1077	368	32	224	242	564	23	394	10	38	179	2635	8445
Zotu10	54	69	4	3979	1	0	11989	93	1	5314	5	0	8229	43	21	9913	5	1	541	24	7	28723	4	2	2754	11	1	2105	7	0	1657	16	0	1218	9	2	67	25	151	10	19	0	7135	12	10	5	0	46	0	6051	1	1	5551	13	8	6	0	10130	5	8	624	0	14760	2	0	48	9	0	1939	48	0	92	0	1	7	7	0	0	5	0	7	8	6	0	0	8	35	0	8	6	13	0	7	8	12	0	8	0	121	44
Zotu11	0	11	0	0	20	0	0	7	0	7	3953	0	0	25737	1	0	3484	0	0	0	2	12	150	0	0	5	0	0	69	0	0	1671	0	4	8	0	0	44	0	0	11	0	1	0	0	6	1	6	1	11	16	0	0	14	1	7	0	0	34	0	0	0	1	55639	0	3	100	0	2	7	0	2	0	2021	0	12	0	32	6	0	6	0	2	0	122	1	336	0	0	1	68	0	32963	0	1749	0	48	0	0	1464
Zotu12	0	87	0	2	28	0	0	9	2	0	10648	2	0	11	0	2	5	0	0	2	9	0	3	1	0	6	0	1	0	0	5	3	6	0	0	0	0	0	0	4	14360	0	0	11670	0	2	9	10	7	0	521	0	0	2	0	209	0	0	5	0	1	0	0	13309	1	0	3	0	1	4	6	0	0	6	1	7624	4	8475	0	0	5	2	3	1	0	0	1	1	23	1	153	1	19398	0	27338	1	10	1	2	6868
Zotu13	46	8	0	25	12	1	12	2	0	14	6	0	11	9	1	5	1	0	10	1	0	21	3	0	39	1	1	34	11	0	29	1	0	440	0	0	35	1	3	24408	2	1	20	1	9	2	0	1122	0	75	13	1	24	4	4	121	1	34	9	0	140	1	78	10	0	9729	1633	0	41912	0	2	32	0	6	5	13	0	4	2	0	2	7	1	0	1	0	23085	0	0	8	11	0	4	0	391	1	16	1	28	3
Zotu14	0	12	0	0	12307	0	0	2	0	0	61989	0	0	22	0	0	2	0	0	8	0	0	0	0	0	3	0	0	2	2	0	1	0	0	11	0	0	0	0	0	180	0	0	11	0	2	0	7839	1	0	5	0	1	3	0	13	0	0	7	0	0	0	0	85	0	0	17	0	0	8	0	0	0	717	0	0	0	36	0	0	0	0	17882	0	3	0	0	0	0	0	1	0	2	0	5	0	15	0	0	0
Zotu15	1831	71868	0	60	18	0	24	15	0	37	29	0	182	24	0	6	9	1	36	0	0	11	0	0	59	9	0	34	7	0	84	0	0	37	40	0	149	24	0	5	18	0	24	0	0	0	0	30	0	71	0	0	37	5	0	9	0	44	3	0	67	0	144	8	0	11	0	0	17	11	0	990	0	0	0	753	0	59	0	0	22	0	11	0	0	0	21	0	11	0	8	0	1	0	14	0	0	0	66	54
Zotu16	0	11227	1	0	8	2	0	3	0	1	7	0	1	2	1	0	4	0	0	3	0	1	0	0	1	1	1	0	4	0	0	5	0	0	7	0	1	0	2	1	5020	0	0	429	0	6	0	7	0	2	1748	0	0	7	1	7	0	2	7749	3	0	1	0	15986	0	0	14756	2	0	3	2	1	0	4	0	10	0	6314	0	0	2	0	25003	0	3	0	0	0	8722	0	1638	0	3731	0	1275	0	0	2	0	211
Zotu17	0	0	0	2670	13	0	5	0	0	0	17	0	0	0	0	1	0	0	2	8	0	0	0	3	3	0	3	3	6	0	3	0	2	1	5	0	0	0	0	3	7	0	0	91163	0	18	0	42	0	0	12	0	0	3	0	12	0	2	0	0	0	0	0	5	0	0	22	0	0	1	0	0	0	8	1	0	0	17	0	0	3	3	7	0	9	0	13	0	0	0	2	0	1	0	1	0	1	0	0	0
Zotu18	0	1176	1	0	74	0	1	12	1	0	3	0	1	1212	0	0	455	0	2	6539	1	0	2060	0	174	1343	2	2	0	1	4	394	0	0	3	0	2	5	21	1	2035	0	2	4351	1	792	0	1588	0	0	290	0	1	5	0	1910	0	1	1978	1	1	0	1	16004	0	103	1510	0	1	1272	0	0	0	7536	0	13224	0	8303	0	0	435	3	2898	1	3	0	2599	1	2210	3	12493	3	1530	0	7445	0	395	0	1	1
Zotu19	8806	252	59	6214	69	38	6207	353	58	3903	225	35	3297	1080	13	193	23	11	693	700	150	488	4	33	3069	7	20	5950	5	50	7737	202	213	5096	406	97	1454	222	100	39	17	3	6285	415	7	4	4	7511	11	5339	13	38	10735	4	10	73	0	2642	186	4	2517	3	1995	5	2	384	1	77	112	1	68	2378	96	57	53	1043	5	137	27	6	390	29	37	16	0	25	1938	19	4	14	502	52	414	120	765	40	9	133	5694	422
Zotu20	0	0	0	0	0	0	0	8	0	0	4	9	0	1	0	0	3	0	0	0	0	0	0	5	1	2	0	0	0	0	0	2	1	1	0	9	0	0	0	0	28888	3	0	0	0	0	0	5	0	0	0	0	0	3	0	0	10	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	6	6	0	3	0	50508	0	3	8	1	0	0	11
Zotu21	0	0	0	0	0	6	0	19	0	0	7	0	0	7	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	0	530	0	0	11	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	10	11	1	0	4	0	81018	0	0	5
Zotu22	2210	735	2220	1009	233	194	769	99	233	1586	36	672	1291	273	55	913	11	564	2350	41	1310	995	6	1360	1775	1	294	2439	87	321	1383	19	668	3253	5465	362	1910	1594	120	7773	123	210	1622	149	18	26	4	484	62	2649	115	1835	1895	575	73	90	30	3489	60	33	2011	436	3823	45	11	1115	160	95	226	145	7	5079	18	555	33	934	34	232	43	60	46	278	10	46	209	59	245	703	293	15	135	170	349	16	206	4	18	126	1634	4973
Zotu23	0	8	0	0	0	0	0	83	0	0	16083	0	0	6	0	0	14	0	5	31	1	0	5	0	0	5	0	1	104	0	7	856	1	0	3345	0	1	20	0	2	18	0	0	909	4	10517	1	1056	0	0	1372	0	5	15	0	4	0	0	1230	0	0	0	2	11958	1	0	8	0	1	6	0	0	0	12109	0	1	0	7	0	0	13	0	1	0	6	0	444	0	1	5	17439	0	1253	0	152	0	993	0	1	11
Zotu24	3	3	4	3	65	6	17	15	3	2123	3	4	24	0	28	701	11	2	1	3	0	4336	6	11	24	9	5451	10	9	8	8	28314	1	16	4	6	2	737	0	4	35	33	6	31447	34	9	10	7	7	2	0	0	6	17	11	6	0	0	1	1	2939	0	2	8	2967	2	6	1	0	2	18	2	1	0	9	7	31	2	7	19	0	5	12	6	1	1673	3	15	1	37	0	10	6	10	1	52	0	20	2	2
Zotu25	14	0	2	2933	0	0	74	2	0	33	0	0	6900	0	0	267	2	0	11802	2	0	121	3	0	9990	0	0	23	0	0	26	2	0	13	7	1	3	0	2	7	4	1	37	0	6	0	0	10	0	49	0	0	4036	0	0	0	0	11501	3	0	10530	0	59	1	0	11	0	0	8	0	1	39	0	0	2	3	0	0	0	0	0	4	0	0	0	8	1	0	6	2	11	0	0	2	12	0	2	0	3400	82
Zotu26	0	1	0	0	0	0	0	10	0	0	43	0	0	1	0	0	12	0	0	4	0	0	42	0	0	0	0	3	0	0	0	10	0	0	3	2	2	0	2	0	7	0	0	0	0	10	0	19	1	9	9	2	1	60087	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	1	0	1	0	2252	0	0	0	0	0	0	15	0	0	0	8	0	0	0	0	0	0	0	1	0	1	0	0	0
Zotu27	0	10	0	0	14897	0	3	0	0	0	28	0	0	1	0	0	46947	0	0	10	0	0	3	0	0	7	0	0	22	0	0	0	0	0	9	0	0	1	0	0	4	0	0	2	0	0	0	7	0	0	2	0	0	1	0	15	0	0	0	0	0	0	0	4	0	0	904	0	0	7	0	0	0	2	0	0	0	6	0	0	0	0	1	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Zotu28	0	4	1	0	11419	0	0	0	0	0	15160	0	0	4	1	0	6	0	0	0	0	0	3	0	0	4	4	0	6	0	0	0	0	0	8282	0	0	6	10	0	3	0	0	1	0	0	0	4	0	0	27	0	0	1232	0	4	0	0	3	7	0	0	0	2	0	0	3	0	0	12	0	0	5	1	0	0	0	12	0	1	2	0	1	0	0	0	1	0	6	0	0	0	1	0	30308	0	116	11	0	2
Zotu29	0	2	0	0	1	0	0	2	0	0	14253	0	2	9	0	0	5	0	1	4	0	0	1	0	1	1	0	0	1	0	0	2276	0	0	4	0	3	2692	0	0	6	0	0	3	0	7	0	5	0	0	6	0	1	17904	0	3	0	2	6	0	0	0	0	37	0	0	18304	0	6	3	0	0	0	2	0	5	0	3	0	0	5342	0	2	0	6	2	1	0	1	0	1160	0	0	0	3658	0	1	0	0	0
Zotu30	1	0	0	0	0	0	0	5	0	0	1	3	1	4	0	0	3	0	0	1	0	0	3	4	1	0	0	0	19	0	0	0	0	0	0	2	1	3	0	0	0	5	0	1	0	2	0	0	0	0	1	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	5	0	4155	0	23674	2	9	0	0	0	94	1	0	3	0	0	0	36112
Zotu31	0	0	0	1	0	0	0	4	0	156	0	0	0	0	0	0	27	0	0	1	0	0	57418	0	0	0	0	2	0	0	0	1	0	4	0	0	0	0	0	0	5	0	0	0	0	9	0	0	0	2	0	0	0	14	0	0	0	1	0	0	0	0	0	12	0	2	0	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	8	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	9
Zotu32	2618	683	47	821	808	8	853	480	28	1027	817	12	1443	1271	5	277	1177	6	2281	671	21	1289	485	10	2043	581	3	1727	557	6	1557	1374	60	1187	496	9	1297	1020	22	263	1636	0	830	314	2	372	3	3545	6	1556	100	39	929	901	2	915	3	1109	643	2	1186	9	1316	337	2	387	349	3	46	72	4	1034	2	243	2	865	0	730	1	1	918	2	262	0	180	2	988	1	272	2	998	2	247	1	424	6	42	1	573	126
Zotu33	0	1	0	0	13	0	0	0	0	0	20	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	11	1	0	0	0	0	175	0	2	0	0	0	0	0	0	0	2	1	55	0	0	0	2	0	0	0	0	0	0	2	5	0	0	1	0	49374	0	1	0	3	0	0	0	0	0	1	0	5	0	11197	0	0	0
Zotu34	0	26	0	0	5	0	1	91	0	0	121	0	0	1467	0	0	2546	0	0	6351	0	0	535	0	0	3418	0	0	1854	0	0	169	0	0	2	0	0	2	1	0	169	0	0	3314	0	1727	0	710	0	1	51	0	0	453	0	3	0	1	392	0	1	1	1	1274	0	22	4982	0	1	844	0	0	0	2945	0	1916	0	2252	0	0	518	0	3522	0	5141	0	2873	0	1406	2	455	0	843	0	1043	0	982	0	0	649
Zotu35	533	23	1	87	719	0	123	22	0	46	6567	0	117	14	0	12	4	0	58	78	0	29	9	0	447	3	0	208	0	0	556	15	0	260	28	0	570	130	0	31	9	0	203	0	2	12	0	53	0	82	2	0	140	3	0	27	0	163	4	0	200	0	171	4	1	56	66	0	10	34400	167	720	0	2	0	62	0	6	0	0	79	1	4	0	0	0	0	0	49	3	212	0	8	1	58	1	3943	1	596	93
Zotu36	10	6	0	6	2	4	9	0	0	7	0	0	9	4	3	2	1	0	6	3	0	3	1	0	12	0	0	12	1	1	16	3	0	38	0	0	6	2	1	5924	3	4	4	1	5	5	0	132	0	25	1	3	21	1	1	18	0	14	4	0	50	0	34	9	0	296	393	1	28640	0	3	5	0	4	0	2	0	0	0	0	2	2	0	0	2	0	12595	0	0	5	10	0	0	0	38	0	7	2	10	1
Zotu37	7	2	838	20	1	638	27	4	504	8	1	134	6	11	1096	1	20	1065	71	43	521	6	0	633	15	6	577	22	5	654	33	3	401	23	2	442	14	4	1790	18	22	1134	200	6	400	378	970	24	796	10	5	3473	26	16	567	8	395	14	2	491	24	1310	33	17	585	35	32	1661	19	13	834	53	895	11	723	364	503	496	813	374	39	1789	9	718	7	1404	14	1358	18	508	1405	891	24	1171	52	550	18	554	23	4
Zotu38	1	331	0	1	180	1	0	33	0	0	352	0	0	117	1	0	1872	0	5	4001	0	5	1348	1	5	7460	1	12	3687	1	17	67	0	2	19	1	6	34	1	3	315	0	0	3244	0	1148	1	1052	1	0	145	6	2	235	0	319	0	3	1812	1	4	1	13	1226	1	10	360	1	0	1843	0	7	0	3678	0	3626	0	4001	0	0	407	0	1453	1	1737	1	1392	0	1095	1	310	0	471	0	311	0	2	0	3	3705
Zotu39	0	1937	0	0	134	0	0	20	0	0	2	0	0	3997	0	136	14367	0	264	2	0	0	3	0	2	3	0	0	0	0	0	6	0	0	0	0	0	4	0	0	2136	0	0	0	0	3	0	108	0	0	0	0	0	22179	0	1	0	0	1	0	0	0	0	4	0	1	0	0	0	7	0	0	0	0	0	6	1	0	0	0	80	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu40	0	0	0	0	4	0	1	4	0	0	0	0	0	1851	0	0	285	0	0	1	0	1	5	0	0	0	0	0	949	0	0	2	0	0	1	0	0	6	0	0	0	0	781	1	0	7	0	0	0	1	3	0	0	5	2	0	0	0	11	0	0	0	0	11	0	3149	11201	0	9	2	0	1	1	1	0	16473	0	13411	1	0	4	0	3	0	1	1	3	0	0	2	0	1	0	1	0	0	2	0	0	2
Zotu41	2	1	0	1	2	0	0	0	0	6	1	1	4581	0	1	22950	0	0	0	4	1	7554	0	0	6	6	0	10	0	0	0	3	0	1	3	0	11	2	0	6	1	1	1	0	0	0	2	3	0	1557	0	0	3	2	5	24	0	7	0	0	4	0	5	0	0	1811	0	0	0	0	0	0	0	0	7	0	0	0	3	0	0	11	0	0	0	0	0	0	1	0	10	0	6	0	63	0	0	0	5	2
Zotu42	19	577	0	0	206	0	1	125	1	1	1286	0	1	625	0	1	1468	0	22	5492	0	5	1881	0	18	4496	3	8	1071	1	4	160	0	3	521	1	0	45	0	0	306	0	1	724	0	2056	0	1073	0	4	302	0	7	363	1	2084	0	7	263	0	6	1	20	268	0	41	371	5	2	384	1	5	0	848	0	643	0	1422	2	0	620	0	963	1	1797	0	4330	0	488	1	3738	0	4125	3	1594	2	318	2	6	703
Zotu43	0	0	0	0	0	0	0	7	0	0	1	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	1	0	0	0	0	0	0	11	0	2	1	0	2	0	0	39647	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	10	0	214	0	0	0	8	0	0	0	0	0	0	0	0	0	50	0	0	0
Zotu44	0	0	0	0	3	0	4	4	0	0	7	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6	2	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	7	10	0	1	0	4	0	46189	0	0	0
Zotu45	343	0	1814	442	5	977	536	3	1009	312	0	920	642	28	192	144	20	113	947	17	1397	197	7	1100	881	6	993	969	11	1229	992	14	1248	546	41	1299	316	2	1578	55	6	92	651	6	52	19	123	50	464	205	1	2260	479	4	237	7	253	207	3	298	258	319	466	0	62	169	14	415	24	5	144	200	266	12	174	8	88	13	150	164	20	489	3	208	9	355	11	221	2	124	21	280	3	392	3	98	12	159	281	4
Zotu46	24	520	0	5	653	0	24	480	0	9	1345	0	50	2082	0	9	1696	0	46	3862	0	28	1372	0	35	3348	1	31	896	0	26	893	0	22	364	0	18	336	1	2	692	0	23	687	0	3060	0	2620	0	14	125	0	22	672	0	1236	0	12	646	0	25	0	18	679	0	80	832	0	0	1346	0	14	0	1369	1	1218	0	1287	0	0	596	0	530	0	867	0	1442	1	803	0	864	0	903	0	273	0	1074	0	11	585
Zotu47	0	0	1	0	18	0	3	0	0	0	7	0	1	2	0	0	0	0	0	10	0	0	183	0	0	1	0	2	38556	0	2	2	0	0	9	0	1	1	0	0	0	0	0	6	0	0	0	0	0	0	18	0	0	0	0	10	0	0	3	0	0	0	1	7	0	0	16	0	0	12	0	0	0	14	0	8	0	20	0	0	6	0	24	0	3784	0	0	0	0	0	0	0	2	0	8	0	9	0	0	8
Zotu48	35	454	13	13	565	26	28	805	9	19	980	6	32	1849	1	7	2776	0	92	2984	23	27	1957	11	57	1569	28	35	1787	21	39	490	6	7	654	23	25	236	8	2	1890	4	34	811	4	1872	4	6492	5	36	231	11	17	1642	6	1354	5	34	1491	4	35	7	20	1401	0	93	817	28	0	1272	4	25	40	953	8	2073	3	1625	3	2	1283	3	422	2	1698	2	425	6	406	1	1522	24	764	38	818	11	905	9	8	575
Zotu49	393	2	0	0	0	0	0	2	0	1	0	0	1	1651	0	0	4822	0	118	0	0	0	2	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	2	1	1	0	1	2	0	744	0	1	473	0	0	1	1	980	0	0	1	0	1	0	0	1	0	137	2	2	1	1	0	0	0	856	1	8459	0	10264	1	1	841	0	0	0	0	4	0	0	0	0	2831	0	1	0	4060	0	1	0	0	2779
Zotu50	83	5	1	1507	91	0	2693	6695	0	426	274	1	1316	377	0	169	53	0	1068	427	5	548	12739	3	1215	178	2	1890	13	0	1024	409	0	171	107	0	134	1917	1	1	29	0	4	7	1	13	0	53	0	17	2	0	45	2	1	28	0	2	5	0	1	0	3	1	0	23	2	0	0	21	0	13	0	9	1	98	0	5	0	0	21	0	3	0	0	1	31	0	40	1	9	0	4	0	26	0	5	0	66	12
Zotu51	832	5	87	797	10	176	876	70	201	595	0	16	324	481	14	37	20	31	442	11	22	141	6	76	409	0	13	552	7	35	1298	13	372	694	20	485	162	118	54	26	7	31	1617	38	10	59	30	317	18	1666	2	38	640	42	14	33	9	864	18	0	1190	0	494	41	7	77	20	48	54	14	8	2051	8	67	118	6534	8	225	47	16	154	59	22	57	48	105	236	61	11	36	425	149	79	5	374	7	14	3	2534	54
Zotu52	1241	1	0	869	17	1	974	24	0	132	9	0	79	49	1	5	0	0	2	2	0	16	16	0	59	1	1	596	0	0	1552	58	0	376	222	5	197	28634	0	1	212	0	5	13	1	106	0	64	0	4	5	1	14	16	0	14	0	4	10	0	2	0	10	5	0	1	4	0	1	22	0	2	0	11	0	1	0	0	0	0	21	0	40	0	89	0	107	0	15	0	16	0	14	0	7	0	13	0	0	1
Zotu53	2551	32	1	937	1	0	888	10	0	716	8	0	1048	69	0	196	13	1	1657	10	0	721	8	0	1802	10	0	1369	6	0	1392	25	0	1084	12	0	1122	24	0	222	9	0	1178	26	4	14	0	67	0	1821	4	1	1098	2	1	35	0	1111	7	0	1109	0	1251	4	0	266	9	0	247	23	0	3848	0	0	0	8	0	9	1	0	61	1	0	0	17	1	12	0	10	0	52	0	16	0	32	0	3	0	1167	13
Zotu54	0	2	0	0	3464	0	0	6028	0	0	595	0	0	2	0	0	1	0	0	123	0	0	2	0	0	2	0	1	4	0	0	0	0	0	2	0	0	750	2	0	2570	0	0	6	0	5	0	10	0	0	825	0	0	281	0	1862	0	0	15062	0	1	0	5	0	0	0	2	0	27	0	0	0	0	4	0	3	0	1	0	0	10	0	0	0	33	0	2	0	11	0	700	0	85	1	3898	0	20	0	0	28
Zotu55	0	215	0	0	48	0	0	2	0	0	4	0	0	287	0	0	392	0	0	3007	0	0	306	0	0	6690	0	0	1391	1	2	2	0	0	17	0	0	1	0	0	2	0	0	6090	0	3234	0	1860	0	0	51	0	0	485	0	249	0	0	1233	0	0	0	0	2381	0	1	3472	0	0	1826	1	0	0	15	0	512	0	119	0	0	92	0	467	0	954	0	678	0	120	0	126	0	92	1	6	0	0	0	1	0
Zotu56	0	2	0	0	32648	0	0	0	0	0	14	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	6	0	0	0	0	0	15	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	7	0	0	0	12	0	0	0	0	0	0	6	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
Zotu57	527	80	0	122	83	0	17	88	0	4	19	0	10	21485	1	9	6	1	42	13	0	17	6	0	36	0	0	8	10	0	7	10	0	28	21	0	83	8511	0	6	50	0	1	5	0	4	0	9	0	37	9	0	5	1	1	2	0	20	7	0	23	0	24	2	0	3	4	0	3	59	0	598	0	9	0	7	0	1	0	0	12	0	0	0	29	0	1	0	0	0	1	0	1	0	8	0	8	0	55	5
Zotu58	0	8	0	0	21	0	5	38	0	13	35	0	16	15	0	20	23	0	190	57	0	14	2	1	31	0	0	7	68	1	1	57	0	1	41	0	0	56	0	0	43	0	304	2	0	32629	0	16	0	3	4	0	0	15	0	5	0	0	17	0	0	1	23	6	0	18	4	0	0	1	0	50	0	24	0	294	0	40	0	0	335	0	0	0	17	0	148	0	67	0	552	0	133	0	79	0	116	0	115	7
Zotu59	0	2	0	0	2	0	0	0	0	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	15740	0	0	0	9	0	1	0	18003	0	0	0	0	18	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Zotu60	6480	159	1	1124	24	0	695	52	1	238	6	0	641	84	0	224	31	0	1281	53	0	643	19	0	1015	10	1	967	4	0	727	18	0	652	62	2	1271	104	2	454	84	0	139	4	1	15	0	39	0	979	4	0	529	20	0	17	0	1294	44	0	1477	0	1374	9	0	272	13	0	75	0	0	870	0	10	0	66	0	8	1	0	37	0	0	0	18	2	10	0	15	0	77	0	1	1	32	0	0	0	220	12
Zotu61	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	29082	0	2	13	0	1	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
