#OTU ID	S1-bottom	S1-sediment	S2-surface	S2-bottom	S2-sediment	S3-surface	S3-bottom	S3-sediment	S4-surface	S4-bottom	S4-sediment	S5-surface	S5-bottom	S5-sediment	S6-surface	S6-bottom	S6-sediment	S7-surface	S7-bottom	S7-sediment	S8-surface	S8-bottom	S8-sediment	S9-surface	S9-bottom	S9-sediment	S10-surface	S10-bottom	S10-sediment	S11-surface	S11-bottom	S11-sediment	S12-surface	S12-bottom	S12-sediment	S13-surface	S13-bottom	S13-sediment	S14-surface	S14-bottom	S14-sediment	C1-surface	C1-bottom	C1-sediment	C2-surface	C2-sediment	C3-surface	C3-sediment	C4-surface	C4-bottom	C4-sediment	C5-surface	C5-bottom	C5-sediment	C10-surface	C10-sediment	C11-surface	C11-bottom	C11-sediment	C12-surface	C12-bottom	C13-surface	C13-bottom	C13-sediment	C14-surface	C14-bottom	C14-sediment	N1-surface	N1-bottom	N1-sediment	N2-surface	N2-bottom	N3-surface	N3-sediment	N4-surface	N4-sediment	N5-surface	N5-sediment	N6-surface	N7-surface	N7-sediment	N8-surface	N8-sediment	N9-surface	N9-sediment	N10-surface	N10-sediment	N11-surface	N11	N12-surface	N12-sediment	N13-surface	N13-sediment	N14-surface	N14-sediment	N15-surface	N15-sediment	N16-surface	N16-bottom	N16-sediment
Zotu1664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0	0	0	0	0	0	0
Zotu1665	0	0	0	0	26	0	0	37	0	0	2	0	0	25	0	0	7	0	0	22	0	0	3	0	0	12	0	0	34	0	0	54	0	0	65	0	0	46	0	0	19	0	0	0	0	2	0	31	0	0	4	0	0	3	0	10	0	0	5	0	0	0	0	9	0	0	7	0	0	0	0	0	0	6	0	0	0	8	0	0	4	0	0	0	3	0	21	0	5	0	0	0	1	0	9	0	0	0	0	0
Zotu1666	0	0	0	0	83	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	2	0	0	200	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	22
Zotu1667	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	86
Zotu1668	10	156	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	175	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Zotu1669	4	3	5	0	7	1	1	13	3	0	13	0	0	7	0	0	13	1	0	5	0	0	3	4	0	2	0	0	18	5	0	6	1	0	5	1	0	0	2	0	8	1	0	0	0	3	0	25	0	0	2	1	0	3	0	7	0	0	0	0	0	0	0	3	0	0	14	2	1	10	3	1	1	14	1	39	0	24	0	0	8	1	6	0	0	1	21	2	3	0	17	2	2	5	32	1	14	1	0	18
Zotu1670	0	8	0	0	6	0	0	0	0	0	4	0	0	10	0	0	8	0	0	20	0	0	0	0	0	7	0	0	18	0	0	12	0	0	10	0	0	1	0	0	14	0	0	18	0	5	0	12	0	0	0	0	0	8	0	8	0	0	15	0	0	0	0	17	0	0	2	0	0	6	0	0	0	6	0	2	0	7	0	0	6	0	8	0	13	0	37	0	6	0	6	0	15	0	8	0	15	0	0	7
Zotu1671	0	9	0	0	1	0	0	1	0	0	2	0	0	1	0	0	86	0	0	28	0	0	11	0	1	26	0	0	12	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	11	0	92	0	0	0	0	0	7	0	2	0	0	2	0	0	0	0	8	0	0	5	0	0	5	0	0	0	0	0	4	0	10	0	0	7	0	20	0	29	0	25	0	0	0	3	0	1	0	9	0	9	0	0	0
Zotu1672	0	0	5	26	0	2	28	0	5	12	0	0	16	0	1	1	1	0	20	0	2	11	0	0	13	0	0	66	0	5	31	0	31	22	0	0	23	0	9	0	1	1	21	0	0	0	1	0	0	10	0	3	24	0	0	29	0	5	0	0	3	0	4	0	0	4	0	0	0	0	1	2	1	0	5	0	3	40	14	5	13	6	1	0	0	7	0	7	0	0	0	6	0	3	0	0	0	0	21	0
Zotu1673	0	4	0	0	6	0	0	0	0	0	0	0	0	38	0	0	8	0	0	17	0	0	4	0	0	2	0	0	23	0	0	0	0	0	0	0	0	13	0	0	2	0	0	0	0	6	0	5	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	27	0	73	0	14	0	0	3	0	14	0	29	0	18	0	8	0	2	0	3	0	1	0	0	0	0	3
